id,title,description,difficulty_level,examples,constraints,test_cases
379,Word Search in Trie,"Given a list of words, build a Trie from these words. Then, given a target word, determine if the target word exists in the Trie. Return 1 if the word exists, and 0 otherwise.",Easy,"[{""input"": {""words"": [""apple"", ""banana""], ""targetWord"": ""orange""}, ""output"": 0}, {""input"": {""words"": [""apple"", ""banana""], ""targetWord"": ""apple""}, ""output"": 1}]","[""words[i] and targetWord consist of lowercase English letters."", ""1 \u2264 targetWord.length \u2264 20"", ""1 \u2264 words[i].length \u2264 20"", ""1 \u2264 words.length \u2264 100""]","[{""input"": {""words"": [""apple"", ""banana""], ""targetWord"": ""apple""}, ""expected_output"": 1}, {""input"": {""words"": [""apple"", ""banana""], ""targetWord"": ""orange""}, ""expected_output"": 0}, {""input"": {""words"": [""car"", ""card""], ""targetWord"": ""card""}, ""expected_output"": 1}, {""input"": {""words"": [""car"", ""card""], ""targetWord"": ""carpet""}, ""expected_output"": 0}, {""input"": {""words"": [], ""targetWord"": ""apple""}, ""expected_output"": 0}]"
384,K-th Largest in Sliding Window Threshold,"Given a stream of integers `nums` and a window size `k`, and a threshold `threshold`.  Imagine a sliding window of size `k` moving from the beginning to the end of the stream. For each step as the window slides, determine the k-th largest element within the current window. Your task is to return 1 if at any point during this sliding window process, the k-th largest element is greater than or equal to the given `threshold`. Otherwise, if the k-th largest element is always less than the `threshold` for all windows, return 0.  If the window size `k` is larger than the number of elements seen so far, consider the window to be all elements seen so far, and find the k-th largest among them (if possible, otherwise consider the smallest element as the k-th largest if fewer than k elements are available).",Hard,"[{""input"": {""k"": 3, ""nums"": [3, 2, 1, 5, 6, 4], ""threshold"": 3}, ""output"": 1}, {""input"": {""k"": 3, ""nums"": [1, 2, 3, 4, 5, 6], ""threshold"": 4}, ""output"": 1}]","[""-10^9 \u2264 threshold \u2264 10^9"", ""-10^9 \u2264 nums[i] \u2264 10^9"", ""1 \u2264 k \u2264 nums.length"", ""1 \u2264 nums.length \u2264 10^5""]","[{""input"": {""k"": 5, ""nums"": [10, 9, 8, 7, 6, 5, 4], ""threshold"": 8}, ""expected_output"": 1}, {""input"": {""k"": 3, ""nums"": [3, 2, 1, 5, 6, 4], ""threshold"": 3}, ""expected_output"": 1}, {""input"": {""k"": 3, ""nums"": [1, 2, 3, 4, 5, 6], ""threshold"": 4}, ""expected_output"": 1}, {""input"": {""k"": 3, ""nums"": [1, 2], ""threshold"": 3}, ""expected_output"": 0}, {""input"": {""k"": 4, ""nums"": [7, 6, 5, 4, 3, 2, 1], ""threshold"": 5}, ""expected_output"": 1}]"
271,Range Sum Existence,"Given an array of integers `nums` and a set of queries represented by a 2D array `queries`, where each query `[start, end, target]` asks whether there exists a subarray within the range `[start, end]` (inclusive) whose sum equals `target`. Return 1 if all queries return true, otherwise return 0. Solve using a Binary Indexed Tree.",Medium,"[{""input"": {""nums"": [1, 2, 3, 4, 5], ""queries"": [[0, 2, 6], [1, 3, 9]]}, ""output"": 1}, {""input"": {""nums"": [1, 2, 3, 4, 5], ""queries"": [[0, 2, 5], [1, 3, 9]]}, ""output"": 0}]","[""-10^5 \u2264 target \u2264 10^5"", ""0 \u2264 start \u2264 end < nums.length"", ""1 \u2264 queries.length \u2264 10^3"", ""-10^4 \u2264 nums[i] \u2264 10^4"", ""1 \u2264 nums.length \u2264 10^4""]","[{""input"": {""nums"": [1, 2, 3, 4, 5], ""queries"": [[0, 2, 6], [1, 3, 9]]}, ""expected_output"": 1}, {""input"": {""nums"": [1, 2, 3, 4, 5], ""queries"": [[0, 2, 5], [1, 3, 9]]}, ""expected_output"": 0}, {""input"": {""nums"": [1, -1, 1, -1, 1], ""queries"": [[0, 4, 1], [1, 3, -2]]}, ""expected_output"": 1}, {""input"": {""nums"": [1, 2, 3], ""queries"": [[0, 0, 1], [1, 2, 5]]}, ""expected_output"": 1}, {""input"": {""nums"": [5, -2, 3, 1, -4], ""queries"": [[0, 4, 3], [1, 3, 2], [2, 4, 0]]}, ""expected_output"": 1}]"
278,Friends Circle,"Given a matrix where each row represents a person and each column represents whether they are friends with another person. If matrix[i][j] = 1, it means person i and person j are direct friends. Friend relationship is transitive. So, if A is a direct friend of B, and B is a direct friend of C, then A is an indirect friend of C. A friend circle is a group of people who are either direct or indirect friends. Given a N*N matrix M representing the friend relationship between students in a class. Your task is to find the total number of friend circles in the class. Return the number of friend circles.",Medium,"[{""input"": {""matrix"": [[1, 1, 0], [1, 1, 0], [0, 0, 1]]}, ""output"": 2}, {""input"": {""matrix"": [[1, 1, 0], [1, 1, 1], [0, 1, 1]]}, ""output"": 1}]","[""M[i][j] == M[j][i]"", ""M[i][i] == 1"", ""M[i][j] is 1 or 0"", ""1 <= N <= 200""]","[{""input"": {""matrix"": [[1, 1, 0], [1, 1, 0], [0, 0, 1]]}, ""expected_output"": 2}, {""input"": {""matrix"": [[1, 1, 0], [1, 1, 1], [0, 1, 1]]}, ""expected_output"": 1}, {""input"": {""matrix"": [[1, 0, 0, 1], [0, 1, 1, 0], [0, 1, 1, 1], [1, 0, 1, 1]]}, ""expected_output"": 1}, {""input"": {""matrix"": [[1, 0, 0], [0, 1, 0], [0, 0, 1]]}, ""expected_output"": 3}, {""input"": {""matrix"": [[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]}, ""expected_output"": 4}]"
279,Same Tree Traversal Sequence,"Given two binary trees, determine if they produce the same sequence of values when traversed using an inorder traversal. Return 1 if the inorder traversals are the same, and 0 otherwise. Assume that the tree nodes only contain integer values.",Medium,"[{""input"": {""tree1"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}, ""tree2"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}}, ""output"": 1}, {""input"": {""tree1"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}, ""tree2"": {""val"": 1, ""left"": {""val"": 3, ""left"": null, ""right"": null}, ""right"": {""val"": 2, ""left"": null, ""right"": null}}}, ""output"": 0}]","[""-100 <= Node.val <= 100"", ""The number of nodes in each tree is in the range [0, 100].""]","[{""input"": {""tree1"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}, ""tree2"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}}, ""expected_output"": 1}, {""input"": {""tree1"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}, ""tree2"": {""val"": 1, ""left"": {""val"": 3, ""left"": null, ""right"": null}, ""right"": {""val"": 2, ""left"": null, ""right"": null}}}, ""expected_output"": 0}, {""input"": {""tree1"": {""val"": 1, ""left"": null, ""right"": null}, ""tree2"": {""val"": 1, ""left"": null, ""right"": null}}, ""expected_output"": 1}, {""input"": {""tree1"": {""val"": 1, ""left"": null, ""right"": null}, ""tree2"": {""val"": 2, ""left"": null, ""right"": null}}, ""expected_output"": 0}, {""input"": {""tree1"": null, ""tree2"": null}, ""expected_output"": 1}]"
280,Course Schedule,"Given a number of courses `n` and a list of prerequisites `prerequisites` where `prerequisites[i] = [a, b]` indicates that you must take course `b` before course `a`, determine if it is possible to finish all courses. Return 1 if it is possible, and 0 otherwise.",Easy,"[{""input"": {""n"": 2, ""prerequisites"": [[1, 0]]}, ""output"": 1}, {""input"": {""n"": 2, ""prerequisites"": [[1, 0], [0, 1]]}, ""output"": 0}]","[""All the pairs [ai, bi] are distinct."", ""ai != bi"", ""0 <= ai, bi < n"", ""prerequisites[i].length == 2"", ""0 <= prerequisites.length <= 2000"", ""1 <= n <= 2000""]","[{""input"": {""n"": 2, ""prerequisites"": [[1, 0]]}, ""expected_output"": 1}, {""input"": {""n"": 2, ""prerequisites"": [[1, 0], [0, 1]]}, ""expected_output"": 0}, {""input"": {""n"": 3, ""prerequisites"": [[0, 1], [0, 2], [1, 2]]}, ""expected_output"": 1}, {""input"": {""n"": 3, ""prerequisites"": [[0, 1], [1, 2], [2, 0]]}, ""expected_output"": 0}, {""input"": {""n"": 4, ""prerequisites"": [[1, 0], [2, 0], [3, 1], [3, 2]]}, ""expected_output"": 1}]"
281,Min Cost Max Flow Assignment,"Given two arrays, `workers` and `tasks`, where `workers[i]` represents the skill level of the i-th worker and `tasks[j]` represents the difficulty level of the j-th task. Each worker can be assigned to at most one task, and each task can be assigned to at most one worker. The cost of assigning worker `i` to task `j` is `abs(workers[i] - tasks[j])`. Determine if it's possible to assign all tasks to workers such that the total cost is less than or equal to `max_cost`. Return 1 if possible, otherwise return 0.",Hard,"[{""input"": {""tasks"": [2, 3, 6], ""workers"": [4, 1, 5], ""max_cost"": 10}, ""output"": 1}, {""input"": {""tasks"": [4, 5, 6], ""workers"": [1, 2, 3], ""max_cost"": 5}, ""output"": 0}]","[""0 <= max_cost <= 100000"", ""1 <= tasks[i] <= 1000"", ""1 <= workers[i] <= 1000"", ""workers.length == tasks.length"", ""1 <= tasks.length <= 100"", ""1 <= workers.length <= 100""]","[{""input"": {""tasks"": [2, 3, 6], ""workers"": [4, 1, 5], ""max_cost"": 10}, ""expected_output"": 1}, {""input"": {""tasks"": [4, 5, 6], ""workers"": [1, 2, 3], ""max_cost"": 5}, ""expected_output"": 0}, {""input"": {""tasks"": [3, 6, 1, 9], ""workers"": [1, 5, 2, 8], ""max_cost"": 15}, ""expected_output"": 1}, {""input"": {""tasks"": [5, 6, 7, 8], ""workers"": [1, 2, 3, 4], ""max_cost"": 2}, ""expected_output"": 0}, {""input"": {""tasks"": [15, 25, 35], ""workers"": [10, 20, 30], ""max_cost"": 20}, ""expected_output"": 1}]"
282,Minimize Malware Spread II,"You are given a network of computers represented as an n x n adjacency matrix graph where graph[i][j] = 1 if there is a connection between the ith and jth computers, and graph[i][j] = 0 otherwise. Both the computer network and the initial list of infected computers are directly connected. Only infected computers can spread the malware. A computer is cleaned if it is not initially infected and at least one of its neighbors is infected. You are allowed to initially inoculate one uninfected computer. Your goal is to minimize the number of initially infected computers that will still be infected after cleaning the network. Return the index of the computer you will inoculate. If multiple computers could be chosen return the smallest index. If all the remaining computers will still be infected no matter which uninfected computer you inoculate, return -1.",Hard,"[{""input"": {""graph"": [[1, 1, 0], [1, 1, 0], [0, 0, 1]], ""initial"": [0, 1, 2]}, ""output"": 2}, {""input"": {""graph"": [[1, 1, 0], [1, 1, 1], [0, 1, 1]], ""initial"": [0, 1]}, ""output"": 0}]","[""All integers in initial are unique."", ""0 <= initial[i] < n"", ""initial.length < n"", ""graph[i][i] == 1"", ""graph[i][j] is 0 or 1."", ""2 <= n <= 300"", ""n == graph[i].length"", ""n == graph.length""]","[{""input"": {""graph"": [[1, 1, 0], [1, 1, 0], [0, 0, 1]], ""initial"": [0, 1, 2]}, ""expected_output"": 2}, {""input"": {""graph"": [[1, 1, 0], [1, 1, 1], [0, 1, 1]], ""initial"": [0, 1]}, ""expected_output"": 0}, {""input"": {""graph"": [[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 1], [0, 0, 1, 1]], ""initial"": [0, 1]}, ""expected_output"": -1}, {""input"": {""graph"": [[1, 0, 0, 0, 0], [0, 1, 0, 0, 0], [0, 0, 1, 0, 0], [0, 0, 0, 1, 0], [0, 0, 0, 0, 1]], ""initial"": [0, 1, 2, 3, 4]}, ""expected_output"": 0}, {""input"": {""graph"": [[1, 1, 0, 0], [1, 1, 0, 0], [0, 0, 1, 1], [0, 0, 1, 1]], ""initial"": [0, 2]}, ""expected_output"": 0}]"
283,MST Weight Check,"Given a weighted, undirected graph represented as a list of edges, determine if the weight of its minimum spanning tree (MST) is less than or equal to a given threshold. The graph is represented as a list of edges, where each edge is a tuple (u, v, weight), where u and v are node indices (0-indexed) and weight is the weight of the edge. Return 1 if the MST weight is less than or equal to the threshold, and 0 otherwise. Assume the graph is connected.",Medium,"[{""input"": {""edges"": [[0, 1, 1], [0, 2, 2], [1, 2, 3], [1, 3, 4], [2, 3, 5]], ""num_nodes"": 4, ""threshold"": 6}, ""output"": 1}, {""input"": {""edges"": [[0, 1, 5], [0, 2, 10], [1, 2, 3], [1, 3, 1], [2, 3, 20]], ""num_nodes"": 4, ""threshold"": 7}, ""output"": 1}]","[""1 <= threshold <= 10000"", ""1 <= weight <= 1000"", ""0 <= u, v < num_nodes"", ""0 <= number of edges <= num_nodes * (num_nodes - 1) / 2"", ""1 <= num_nodes <= 100""]","[{""input"": {""edges"": [[0, 1, 1], [0, 2, 2], [1, 2, 3], [1, 3, 4], [2, 3, 5]], ""num_nodes"": 4, ""threshold"": 6}, ""expected_output"": 1}, {""input"": {""edges"": [[0, 1, 5], [0, 2, 10], [1, 2, 3], [1, 3, 1], [2, 3, 20]], ""num_nodes"": 4, ""threshold"": 7}, ""expected_output"": 1}, {""input"": {""edges"": [[0, 1, 5], [0, 2, 10], [1, 2, 3]], ""num_nodes"": 3, ""threshold"": 8}, ""expected_output"": 1}, {""input"": {""edges"": [[0, 1, 1], [0, 2, 2], [1, 2, 3], [1, 3, 4], [2, 3, 5], [3, 4, 10]], ""num_nodes"": 5, ""threshold"": 11}, ""expected_output"": 0}, {""input"": {""edges"": [[0, 1, 100]], ""num_nodes"": 2, ""threshold"": 99}, ""expected_output"": 0}]"
292,Check if Element Exists (Divide and Conquer),"Given a sorted array of integers nums and an integer target, return 1 if the target exists in the array, otherwise return 0. Implement using a divide and conquer approach.",Easy,"[{""input"": {""nums"": [2, 5, 7, 8, 11, 12], ""target"": 13}, ""output"": 0}, {""input"": {""nums"": [2, 5, 7, 8, 11, 12], ""target"": 12}, ""output"": 1}]","[""nums is sorted in ascending order."", ""-10^9 \u2264 nums[i] \u2264 10^9"", ""1 \u2264 nums.length \u2264 10^4""]","[{""input"": {""nums"": [1, 2, 3, 4, 5], ""target"": 3}, ""expected_output"": 1}, {""input"": {""nums"": [2, 5, 7, 8, 11, 12], ""target"": 13}, ""expected_output"": 0}, {""input"": {""nums"": [2, 5, 7, 8, 11, 12], ""target"": 12}, ""expected_output"": 1}, {""input"": {""nums"": [2, 5, 7, 8, 11, 12], ""target"": 0}, ""expected_output"": 0}, {""input"": {""nums"": [2, 5, 7, 8, 11, 12], ""target"": 5}, ""expected_output"": 1}]"
284,Maximum Subarray Sum After One Operation,"Given an array of integers `nums`, you are allowed to perform one operation: choose one element and square it. Return the maximum possible subarray sum after performing at most one operation. A subarray is a contiguous part of an array.",Hard,"[{""input"": {""nums"": [-1, 2, 4]}, ""output"": 19}, {""input"": {""nums"": [1, -1, 1, 1, -1, 1]}, ""output"": 6}]","[""-10^4 <= nums[i] <= 10^4"", ""1 <= nums.length <= 10^5""]","[{""input"": {""nums"": [-1, 2, 4]}, ""expected_output"": 19}, {""input"": {""nums"": [1, -1, 1, 1, -1, 1]}, ""expected_output"": 6}, {""input"": {""nums"": [-2, -1, -3, -4, -1, -2, -1, -5, -4]}, ""expected_output"": 16}, {""input"": {""nums"": [1, 2, -3, 4, 5]}, ""expected_output"": 25}, {""input"": {""nums"": [-1, -2, -3]}, ""expected_output"": 1}]"
285,Regex Engine Simulation,"Implement a simplified regular expression engine that supports only '.' (matches any single character) and '*' (matches zero or more occurrences of the preceding character). Given an input string 's' and a pattern 'p', determine if 'p' matches the entire string 's'. Return 1 if it matches, otherwise return 0.",Hard,"[{""input"": {""p"": ""a"", ""s"": ""aa""}, ""output"": 0}, {""input"": {""p"": ""a*"", ""s"": ""aa""}, ""output"": 1}, {""input"": {""p"": "".*"", ""s"": ""ab""}, ""output"": 1}, {""input"": {""p"": ""c*a*b"", ""s"": ""aab""}, ""output"": 1}, {""input"": {""p"": ""mis*is*p*."", ""s"": ""mississippi""}, ""output"": 0}]","[""It is guaranteed for each appearance of the character '*', there will be a previous valid character to match."", ""p contains only lowercase English letters, '.' ,and '*'."", ""s contains only lowercase English letters."", ""1 <= p.length <= 30"", ""1 <= s.length <= 20""]","[{""input"": {""p"": ""a"", ""s"": ""aa""}, ""expected_output"": 0}, {""input"": {""p"": ""a*"", ""s"": ""aa""}, ""expected_output"": 1}, {""input"": {""p"": "".*"", ""s"": ""ab""}, ""expected_output"": 1}, {""input"": {""p"": ""c*a*b"", ""s"": ""aab""}, ""expected_output"": 1}, {""input"": {""p"": ""mis*is*p*."", ""s"": ""mississippi""}, ""expected_output"": 0}, {""input"": {""p"": ""a*b"", ""s"": ""aaaaaaaaaaaaab""}, ""expected_output"": 1}, {""input"": {""p"": ""d*"", ""s"": ""abc""}, ""expected_output"": 0}]"
286,Longest Consecutive Sequence,"Given an unsorted array of integers nums, find the length of the longest consecutive elements sequence.",Medium,"[{""input"": {""nums"": [100, 4, 200, 1, 3, 2]}, ""output"": 4}, {""input"": {""nums"": [0, 3, 7, 2, 5, 8, 4, 6, 0, 1]}, ""output"": 9}]","[""-10^9 <= nums[i] <= 10^9"", ""0 <= nums.length <= 10^5""]","[{""input"": {""nums"": [100, 4, 200, 1, 3, 2]}, ""expected_output"": 4}, {""input"": {""nums"": [0, 3, 7, 2, 5, 8, 4, 6, 0, 1]}, ""expected_output"": 9}, {""input"": {""nums"": [1, 2, 0, 1]}, ""expected_output"": 3}, {""input"": {""nums"": [9, 1, 4, 7, 3, -1, 0, 5, -3, 8]}, ""expected_output"": 7}, {""input"": {""nums"": []}, ""expected_output"": 0}]"
287,Course Scheduling with Prerequisites and Minimum Semester Requirements,"You are given a list of courses that need to be taken, represented as integers from 0 to n-1. You are also given a list of prerequisites, where prerequisites[i] = [ai, bi] indicates that course ai must be taken before course bi. Additionally, each course has a minimum semester requirement, represented by an array semesters of length n, where semesters[i] denotes the minimum semester in which course i can be taken. Determine if it is possible to finish all courses, and if so, return the minimum number of semesters required. If it is impossible to finish all courses, return -1.",Hard,"[{""input"": {""n"": 4, ""semesters"": [1, 1, 1, 1], ""prerequisites"": [[1, 0], [2, 0], [3, 1], [3, 2]]}, ""output"": 2}, {""input"": {""n"": 3, ""semesters"": [1, 1, 1], ""prerequisites"": [[1, 0], [0, 2]]}, ""output"": -1}]","[""1 <= semesters[i] <= n"", ""ai != bi"", ""0 <= ai, bi < n"", ""prerequisites[i].length == 2"", ""0 <= prerequisites.length <= 5000"", ""1 <= n <= 5000""]","[{""input"": {""n"": 4, ""semesters"": [1, 1, 1, 1], ""prerequisites"": [[1, 0], [2, 0], [3, 1], [3, 2]]}, ""expected_output"": 2}, {""input"": {""n"": 3, ""semesters"": [1, 1, 1], ""prerequisites"": [[1, 0], [0, 2]]}, ""expected_output"": -1}, {""input"": {""n"": 5, ""semesters"": [1, 1, 1, 1, 1], ""prerequisites"": [[0, 1], [1, 2], [2, 3], [3, 4]]}, ""expected_output"": 5}, {""input"": {""n"": 4, ""semesters"": [1, 2, 3, 4], ""prerequisites"": []}, ""expected_output"": 4}, {""input"": {""n"": 4, ""semesters"": [2, 1, 1, 1], ""prerequisites"": [[1, 0]]}, ""expected_output"": -1}]"
288,Maximum Distinct Elements After K Removals,"Given an array of integers `nums` and an integer `k`, you can remove at most `k` elements from the array. The goal is to maximize the number of distinct elements remaining in the array after performing at most `k` removals. Return the maximum possible number of distinct elements.",Hard,"[{""input"": {""k"": 3, ""nums"": [5, 5, 5, 4, 4, 3]}, ""output"": 2}, {""input"": {""k"": 2, ""nums"": [1, 2, 3, 4, 5]}, ""output"": 5}]","[""0 <= k <= nums.length"", ""1 <= nums[i] <= 10^9"", ""1 <= nums.length <= 10^5""]","[{""input"": {""k"": 3, ""nums"": [5, 5, 5, 4, 4, 3]}, ""expected_output"": 2}, {""input"": {""k"": 2, ""nums"": [1, 2, 3, 4, 5]}, ""expected_output"": 5}, {""input"": {""k"": 4, ""nums"": [1, 1, 2, 2, 3, 3]}, ""expected_output"": 1}, {""input"": {""k"": 0, ""nums"": [1, 1, 2, 2, 3, 3]}, ""expected_output"": 3}, {""input"": {""k"": 0, ""nums"": [1, 2, 3, 4, 5]}, ""expected_output"": 5}]"
289,Minimum Fuel Cost After K Modifications,"You are given a weighted directed graph with n nodes, labeled from 0 to n - 1. The weights represent fuel costs. You are also given an integer k. You can modify the fuel cost of at most k edges to 0. Find the minimum fuel cost to travel from node 0 to node n - 1.",Hard,"[{""input"": {""k"": 1, ""n"": 5, ""edges"": [[0, 1, 5], [0, 2, 3], [1, 3, 6], [2, 3, 4], [3, 4, 2]]}, ""output"": 7}, {""input"": {""k"": 2, ""n"": 5, ""edges"": [[0, 1, 5], [0, 2, 3], [1, 3, 6], [2, 3, 4], [3, 4, 2]]}, ""output"": 5}]","[""0 <= k <= edges.length"", ""1 <= weight <= 100"", ""0 <= u, v < n"", ""edges[i].length == 3"", ""0 <= edges.length <= n * (n - 1)"", ""1 <= n <= 100""]","[{""input"": {""k"": 1, ""n"": 5, ""edges"": [[0, 1, 5], [0, 2, 3], [1, 3, 6], [2, 3, 4], [3, 4, 2]]}, ""expected_output"": 7}, {""input"": {""k"": 2, ""n"": 5, ""edges"": [[0, 1, 5], [0, 2, 3], [1, 3, 6], [2, 3, 4], [3, 4, 2]]}, ""expected_output"": 5}, {""input"": {""k"": 0, ""n"": 3, ""edges"": [[0, 1, 10], [1, 2, 5], [0, 2, 15]]}, ""expected_output"": 15}, {""input"": {""k"": 1, ""n"": 3, ""edges"": [[0, 1, 10], [1, 2, 5], [0, 2, 15]]}, ""expected_output"": 5}, {""input"": {""k"": 2, ""n"": 4, ""edges"": [[0, 1, 1], [1, 2, 1], [2, 3, 1], [0, 3, 5]]}, ""expected_output"": 3}]"
290,Maximum Path Sum with K Jumps,"Given a binary tree where each node has an integer value, and an integer K, determine if there exists a path from the root to any leaf node such that the sum of the node values along the path, considering only K jumps (edges) from the root, is the maximum possible sum among all such K-jump paths. Return 1 if such a path exists, otherwise return 0. If K is greater than the height of the tree, return 0.  If K is 0, return 1 if the root is a leaf node, otherwise return 0.",Hard,"[{""input"": {""k"": 1, ""tree"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}}, ""output"": 1}, {""input"": {""k"": 2, ""tree"": {""val"": 1, ""left"": {""val"": 2, ""left"": {""val"": 4, ""left"": null, ""right"": null}, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": {""val"": 5, ""left"": null, ""right"": null}}}}, ""output"": 1}]","[""0 \u2264 K \u2264 10^4"", ""-10^3 \u2264 Node value \u2264 10^3"", ""1 \u2264 Number of nodes in the tree \u2264 10^4""]","[{""input"": {""k"": 1, ""tree"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}}, ""expected_output"": 1}, {""input"": {""k"": 2, ""tree"": {""val"": 1, ""left"": {""val"": 2, ""left"": {""val"": 4, ""left"": null, ""right"": null}, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": {""val"": 5, ""left"": null, ""right"": null}}}}, ""expected_output"": 1}, {""input"": {""k"": 0, ""tree"": {""val"": 1, ""left"": null, ""right"": null}}, ""expected_output"": 1}, {""input"": {""k"": 3, ""tree"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}}, ""expected_output"": 0}, {""input"": {""k"": 1, ""tree"": {""val"": 1, ""left"": {""val"": 5, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}}, ""expected_output"": 1}]"
291,Range Sum Query,"Given an array of integers nums, determine if the sum of elements from index 0 to index i (inclusive) is greater than or equal to a target value k for all i from 0 to n-1. Return 1 if true, otherwise return 0.",Easy,"[{""input"": {""k"": 1, ""nums"": [1, 2, 3, 4]}, ""output"": 1}, {""input"": {""k"": -2, ""nums"": [-1, -2, -3, -4]}, ""output"": 0}]","[""-10^5 \u2264 k \u2264 10^5"", ""-10^4 \u2264 nums[i] \u2264 10^4"", ""1 \u2264 nums.length \u2264 10^4""]","[{""input"": {""k"": 1, ""nums"": [1, 2, 3, 4]}, ""expected_output"": 1}, {""input"": {""k"": -2, ""nums"": [-1, -2, -3, -4]}, ""expected_output"": 0}, {""input"": {""k"": 0, ""nums"": [5, -2, 3, 1]}, ""expected_output"": 1}, {""input"": {""k"": -4, ""nums"": [-5, 2, -3, -1]}, ""expected_output"": 0}, {""input"": {""k"": 1, ""nums"": [0, 0, 0, 0]}, ""expected_output"": 0}]"
293,Maximum Unique Subarray,"You are given an array of positive integers nums. Return the maximum possible sum of a contiguous subarray of nums such that all the values in the subarray are distinct. If no such subarray exists, return 0. Return 1 if a subarray exists with sum greater than 0, else return 0.",Hard,"[{""input"": {""nums"": [4, 2, 4, 5, 6]}, ""output"": 1}, {""input"": {""nums"": [5, 2, 1, 2, 5, 2, 1, 2, 5]}, ""output"": 1}]","[""1 <= nums[i] <= 10^5"", ""1 <= nums.length <= 10^5""]","[{""input"": {""nums"": [4, 2, 4, 5, 6]}, ""expected_output"": 1}, {""input"": {""nums"": [5, 2, 1, 2, 5, 2, 1, 2, 5]}, ""expected_output"": 1}, {""input"": {""nums"": [1, 2, 3, 4, 5]}, ""expected_output"": 1}, {""input"": {""nums"": [2, 2, 2, 2, 2]}, ""expected_output"": 0}, {""input"": {""nums"": [100000]}, ""expected_output"": 1}]"
294,Search Range,"Given a sorted array of integers `nums`, find the starting and ending position of a given `target` value. If `target` is not found in the array, return `[-1, -1]`. Return 1 if the range is found, otherwise return 0.",Medium,"[{""input"": {""nums"": [5, 7, 7, 8, 8, 10], ""target"": 8}, ""output"": 1}, {""input"": {""nums"": [5, 7, 7, 8, 8, 10], ""target"": 6}, ""output"": 0}]","[""-10^9 <= target <= 10^9"", ""nums is a non-decreasing array"", ""-10^9 <= nums[i] <= 10^9"", ""0 <= nums.length <= 10^5""]","[{""input"": {""nums"": [5, 7, 7, 8, 8, 10], ""target"": 8}, ""expected_output"": 1}, {""input"": {""nums"": [5, 7, 7, 8, 8, 10], ""target"": 6}, ""expected_output"": 0}, {""input"": {""nums"": [], ""target"": 0}, ""expected_output"": 0}, {""input"": {""nums"": [1], ""target"": 1}, ""expected_output"": 1}, {""input"": {""nums"": [2, 2], ""target"": 2}, ""expected_output"": 1}]"
